 ,Label,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height
8615,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0241-1158,824,15082.137,121,55658,640.410,422.965,621,443,35,37
8616,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0242-1155,625,14259.773,178,54994,747.530,428.334,732,441,31,26
8617,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0243-1174,1187,13275.997,119,53294,932.187,408.802,906,425,53,32
8618,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0244-1180,937,15671.382,162,59347,174.319,405.401,156,424,34,42
8619,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0245-1182,1023,14204.557,116,53310,872.628,401.531,856,423,36,44
8620,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0246-1173,467,13079.704,173,60581,1039.930,409.881,1025,423,28,26
8621,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0247-1202,1668,17029.221,167,57387,829.966,379.951,807,405,45,49
8622,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0248-1201,726,14939.814,114,50779,727.920,381.970,712,397,33,31
8623,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0249-1213,1478,18870.594,221,64250,1510.211,369.195,1489,391,42,43
8624,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0250-1206,403,12822.298,228,47335,526.857,379.527,515,390,27,26
8625,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0251-1211,833,16849.100,157,56740,987.829,372.093,970,388,35,32
8626,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0252-1218,960,15463.146,96,61761,777.120,365.560,760,386,34,42
8627,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0253-1213,638,14000.732,169,59319,67.835,369.610,52,385,30,30
8628,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0254-1224,1103,14448.829,134,56062,447.396,359.786,430,380,35,42
8629,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0255-1229,1211,13822.329,96,57682,355.343,352.893,335,374,40,41
8630,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0256-1237,799,15112.791,174,49826,308.670,346.399,291,363,35,34
8631,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0257-1238,546,13158.181,155,50519,870.410,347.267,856,361,32,33
8632,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0258-1239,825,19478.657,334,65535,1410.388,343.163,1394,360,33,33
8633,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0259-1256,1125,15186.106,103,55303,1144.837,326.372,1126,347,37,40
8634,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0260-1266,860,15095.758,349,57441,1220.240,316.807,1204,335,32,36
8635,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0261-1270,1252,16174.974,94,60702,76.490,312.440,55,334,41,43
8636,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0262-1266,483,14288.861,240,45394,427.384,316.067,417,332,21,31
8637,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0263-1265,434,14255.959,114,57794,1271.184,316.749,1258,328,26,21
8638,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0264-1276,833,15452.736,126,48626,775.532,305.208,756,327,36,40
8639,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0265-1274,589,13517.917,185,52957,1507.497,310.838,1487,326,35,35
8640,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0266-1279,738,14633.999,100,51243,536.844,305.346,521,324,34,40
8641,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0267-1283,1144,17564.131,121,58522,467.205,299.945,449,320,37,40
8642,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0268-1292,1154,17592.108,116,65535,633.836,290.909,614,311,38,40
8643,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0269-1291,1012,17499.231,541,65535,725.017,291.904,706,310,39,36
8644,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0270-1298,871,15754.055,231,53020,244.259,284.421,226,302,34,35
8645,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0271-1302,406,14853.773,50,64316,1372.057,280.160,1362,296,20,31
8646,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0272-1303,577,15872.698,272,54441,1318.112,278.959,1302,293,31,27
8647,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0273-1309,731,16520.973,103,59420,811.819,271.556,792,290,35,33
8648,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0274-1314,669,15210.641,309,59251,102.633,269.913,84,288,33,38
8649,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0275-1312,597,15148.286,146,50548,887.904,270.751,874,286,29,30
8650,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0276-1316,503,14128.626,75,48677,146.047,264.806,128,281,32,29
8651,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0277-1325,727,14588.259,103,57402,435.435,261.296,423,280,27,45
8652,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0278-1321,601,14886.995,206,48407,691.884,263.582,673,276,36,28
8653,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0279-1336,862,15522.423,87,52999,852.640,249.010,833,265,36,36
8654,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0280-1336,590,14165.331,139,49441,743.320,246.983,721,260,40,26
8655,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0281-1342,1246,16092.711,93,60872,1177.945,239.991,1158,260,40,39
8656,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0282-1341,456,13346.292,78,54296,215.989,245.645,202,257,33,31
8657,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0283-1345,686,13587.886,126,48080,504.940,241.647,485,257,36,39
8658,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0284-1344,833,15958.580,352,59469,558.613,235.549,539,257,36,37
8659,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0285-1358,594,13747.367,105,43845,803.066,222.182,786,242,32,35
8660,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0286-1362,1072,14417.340,126,61345,899.188,219.715,880,240,37,39
8661,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0287-1362,857,16153.272,98,59176,963.546,221.030,948,239,32,36
8662,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0288-1362,1055,16664.803,336,55665,1301.481,220.820,1283,239,37,36
8663,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0289-1370,1162,14208.682,128,52858,140.065,215.169,118,236,42,46
8664,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0290-1371,792,16853.234,82,62202,1532.237,210.701,1518,232,31,40
8665,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0291-1365,406,12969.195,98,43972,78.914,217.665,62,229,31,22
